340 352
0 51380224 _
1 256 /predictor/res2/a/bn2/beta
2 1048576 /predictor/res4/b3/conv3/W
3 51380224 _
4 65536 /predictor/res2/a/conv3/W
5 4096 /predictor/res4/b3/bn3/gamma
6 51380224 _
7 4096 /predictor/res4/b3/bn3/beta
8 1024 /predictor/res2/a/bn3/gamma
9 1024 /predictor/res2/a/bn3/beta
10 12845056 _
11 1048576 /predictor/res4/b4/conv1/W
12 65536 /predictor/res2/a/conv4/W
13 12845056 _
14 12845056 _
15 256 /predictor/res2/b1/bn1/gamma
16 1024 /predictor/res4/b4/bn1/gamma
17 1024 /predictor/res4/b4/bn1/beta
18 256 /predictor/res2/b1/bn1/beta
19 12845056 _
20 2359296 /predictor/res4/b4/conv2/W
21 147456 /predictor/res2/b1/conv2/W
22 51380224 _
23 12845056 _
24 1024 /predictor/res4/b4/bn2/gamma
25 256 /predictor/res2/b1/bn2/gamma
26 25690112 _
27 1024 /predictor/res4/b4/bn2/beta
28 256 /predictor/res2/b1/bn2/beta
29 51380224 _
30 51380224 _
31 1048576 /predictor/res4/b4/conv3/W
32 65536 /predictor/res2/b1/conv3/W
33 12845056 _
34 4096 /predictor/res4/b4/bn3/gamma
35 51380224 _
36 1024 /predictor/res2/b1/bn3/gamma
37 1024 /predictor/res2/a/bn4/beta
38 4096 /predictor/res4/b4/bn3/beta
39 1024 /predictor/res2/b1/bn3/beta
40 25690112 _
41 25690112 _
42 25690112 _
43 9437184 /predictor/res5/b1/conv2/W
44 102760448 _
45 102760448 _
46 2048 /predictor/res5/b1/bn2/gamma
47 25690112 _
48 2048 /predictor/res5/b1/bn2/beta
49 25690112 _
50 6422528 _
51 25690112 _
52 102760448 _
53 102760448 _
54 25690112 _
55 4194304 /predictor/res5/b1/conv3/W
56 25690112 _
57 12845056 _
58 8192 /predictor/res5/b1/bn3/gamma
59 25690112 _
60 12845056 _
61 102760448 _
62 6422528 _
63 12845056 _
64 8192 /predictor/res5/b1/bn3/beta
65 102760448 _
66 6422528 _
67 6422528 _
68 4194304 /predictor/res5/b2/conv1/W
69 12845056 _
70 102760448 _
